symbol,asset_name,sector,industry,first_traded,index_inclusion
RHI,ROBERT HALF,Industrials,Staffing & Employment Services,1980-03-17,
VFC,VF CORP,Consumer Cyclical,Apparel Manufacturing,1980-03-17,
XP,XP CLASS A INC,Financial Services,Capital Markets,2019-12-11,
GNTX,GENTEX CORP,Consumer Cyclical,Auto Parts,1981-12-22,
S,SENTINELONE INC CLASS A,Technology,Software - Infrastructure,2021-06-30,
WH,WYNDHAM HOTELS RESORTS INC,Consumer Cyclical,Lodging,2018-05-21,
AGNC,AGNC INVESTMENT REIT CORP,Real Estate,REIT - Mortgage,2008-05-15,
WEX,WEX INC,Technology,Software - Infrastructure,2005-02-16,
DVA,DAVITA INC,Healthcare,Medical Care Facilities,1995-10-31,2008-07-31
RRC,RANGE RESOURCES CORP,Energy,Oil & Gas E&P,1980-06-19,
JXN,JACKSON FINANCIAL INC CLASS A,Financial Services,Insurance - Life,2021-09-01,
SNV,SYNOVUS FINANCIAL CORP,Financial Services,Banks - Regional,1989-09-12,
FLS,FLOWSERVE CORP,Industrials,Specialty Industrial Machinery,1980-03-17,
MIDD,MIDDLEBY CORP,Industrials,Specialty Industrial Machinery,1987-08-10,
STAG,STAG INDUSTRIAL REIT INC,Real Estate,REIT - Industrial,2011-04-15,
MHK,MOHAWK INDUSTRIES INC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1992-04-01,2013-12-23
CRS,CARPENTER TECHNOLOGY CORP,Industrials,Metal Fabrication,1973-02-21,
ESAB,ESAB CORP,Industrials,Metal Fabrication,2022-03-29,
QRVO,QORVO INC,Technology,Semiconductors,2015-01-02,2015-06-11
GXO,GXO LOGISTICS INC,Industrials,Integrated Freight & Logistics,2021-07-22,
HLNE,HAMILTON LANE INC CLASS A,Financial Services,Asset Management,2017-03-01,
LSCC,LATTICE SEMICONDUCTOR CORP,Technology,Semiconductors,1989-11-09,
BIO,BIO RAD LABORATORIES INC CLASS A,Healthcare,Medical Devices,1980-02-27,
PCOR,PROCORE TECHNOLOGIES INC,Technology,Software - Application,2021-05-20,
TMHC,TAYLOR MORRISON HOME CORP,Consumer Cyclical,Residential Construction,2013-04-10,
FCN,FTI CONSULTING INC,Industrials,Consulting Services,1996-05-09,
OSK,OSHKOSH CORP,Industrials,Farm & Heavy Construction Machinery,1985-10-02,
CGNX,COGNEX CORP,Technology,Scientific & Technical Instruments,1989-07-20,
UHAL-B,U HAUL NON VOTING SERIES N,Industrials,Rental & Leasing Services,2022-11-10,
EXLS,EXLSERVICE HOLDINGS INC,Technology,Information Technology Services,2006-10-20,
JAZZ,JAZZ PHARMACEUTICALS PLC,Healthcare,Biotechnology,2007-06-01,
WBA,WALGREEN BOOTS ALLIANCE INC,Healthcare,Pharmaceutical Retailers,1980-03-17,1979-12-31
PB,PROSPERITY BANCSHARES INC,Financial Services,Banks - Regional,1998-11-12,
FR,FIRST INDUSTRIAL REALTY TRUST INC,Real Estate,REIT - Industrial,1994-06-24,
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Cyclical,Apparel Retail,1996-09-26,
BSY,BENTLEY SYSTEMS INC CLASS B,Technology,Software - Application,2020-09-23,
MAT,MATTEL INC,Consumer Cyclical,Leisure,1976-06-17,
G,GENPACT LTD,Technology,Information Technology Services,2007-08-02,
RLI,RLI CORP,Financial Services,Insurance - Property & Casualty,1980-03-17,
AZPN,ASPEN TECHNOLOGY INC,Technology,Software - Application,1994-10-26,
KEX,KIRBY CORP,Industrials,Marine Shipping,1980-03-17,
CVLT,COMMVAULT SYSTEMS INC,Technology,Software - Application,2006-09-22,
MTH,MERITAGE CORP,Consumer Cyclical,Residential Construction,1988-07-26,
PLNT,PLANET FITNESS INC CLASS A,Consumer Cyclical,Leisure,2015-08-06,
COKE,COCA COLA CONSOLIDATED INC,Consumer Defensive,Beverages - Non-Alcoholic,1973-02-21,
SIRI,SIRIUSXM HOLDINGS INC,Communication Services,Entertainment,1994-09-13,
FAF,FIRST AMERICAN FINANCIAL CORP,Financial Services,Insurance - Specialty,2010-05-28,
RYAN,RYAN SPECIALTY HOLDINGS INC CLASS,Financial Services,Insurance - Specialty,2021-07-22,
SPXC,SPX TECHNOLOGIES INC,Industrials,Building Products & Equipment,1980-03-17,
CROX,CROCS INC,Consumer Cyclical,Footwear & Accessories,2006-02-08,
ESNT,ESSENT GROUP LTD,Financial Services,Insurance - Specialty,2013-10-31,
GKOS,GLAUKOS CORP,Healthcare,Medical Devices,2015-06-25,
R,RYDER SYSTEM INC,Industrials,Rental & Leasing Services,1980-01-02,
MKSI,MKS INSTRUMENTS INC,Technology,Scientific & Technical Instruments,1999-03-30,
AZEK,AZEK COMPANY INC CLASS A,Industrials,Building Products & Equipment,2020-06-12,
ATI,ATI INC,Industrials,Metal Fabrication,1999-11-29,
BBWI,BATH AND BODY WORKS INC,Consumer Cyclical,Specialty Retail,1982-04-01,
IVZ,INVESCO LTD,Financial Services,Asset Management,1995-08-25,2008-08-21
MTG,MGIC INVESTMENT CORP,Financial Services,Insurance - Specialty,1991-08-07,
VMI,VALMONT INDS INC,Industrials,Conglomerates,1973-02-21,
LUMN,LUMEN TECHNOLOGIES INC,Communication Services,Telecom Services,1980-03-17,
MTDR,MATADOR RESOURCES,Energy,Oil & Gas E&P,2012-02-02,
BPOP,POPULAR INC,Financial Services,Banks - Regional,1980-03-17,
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Industrial Distribution,2016-05-12,
ESTC,ELASTIC NV,Technology,Software - Application,2018-10-05,
HR,HEALTHCARE REALTY TRUST INC CLASS,Real Estate,REIT - Healthcare Facilities,1993-05-27,
CMC,COMMERCIAL METALS,Basic Materials,Steel,1980-03-17,
ARW,ARROW ELECTRONICS INC,Technology,Electronics & Computer Distribution,1980-03-17,
GTLB,GITLAB INC CLASS A,Technology,Software - Infrastructure,2021-10-14,
