symbol,asset_name,sector,industry,first_traded,index_inclusion
BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages—Wineries & Distilleries,1973-05-03,
DYN,"Dyne Therapeutics, Inc.",Healthcare,Biotechnology,2020-09-17,
AKR,Acadia Realty Trust,Real Estate,REIT—Retail,1993-05-27,
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Equipment & Parts,2021-03-12,
PRK,Park National Corporation,Financial Services,Banks—Regional,1990-08-31,
MBC,"MasterBrand, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",2022-12-09,
RPD,"Rapid7, Inc.",Technology,Software—Infrastructure,2015-07-17,
FCPT,"Four Corners Property Trust, Inc.",Real Estate,REIT—Retail,2015-11-10,
IDYA,"IDEAYA Biosciences, Inc.",Healthcare,Biotechnology,2019-05-23,
IPAR,"Interparfums, Inc.",Consumer Defensive,Household & Personal Products,1988-02-04,
PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,1997-09-02,
MTX,Minerals Technologies Inc.,Basic Materials,Specialty Chemicals,1992-10-23,
TWST,Twist Bioscience Corporation,Healthcare,Diagnostics & Research,2018-10-31,
LAUR,"Laureate Education, Inc.",Consumer Defensive,Education & Training Services,2017-02-01,
LGIH,"LGI Homes, Inc.",Consumer Cyclical,Residential Construction,2013-11-07,
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,1975-10-31,
ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies,1999-07-23,
OSIS,"OSI Systems, Inc.",Technology,Electronic Components,1997-10-02,
WERN,"Werner Enterprises, Inc.",Industrials,Trucking,1986-06-20,
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT—Mortgage,2004-04-07,
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,1962-01-02,
CPRI,Capri Holdings Limited,Consumer Cyclical,Luxury Goods,2011-12-15,
HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,1980-03-18,
KYMR,"Kymera Therapeutics, Inc.",Healthcare,Biotechnology,2020-08-21,
VERX,"Vertex, Inc.",Technology,Software—Application,2020-07-29,
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,1995-02-02,
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,1993-12-16,
PAR,PAR Technology Corporation,Technology,Software—Application,1982-12-03,
